,bucket,ticker,sector,price,intrinsic,upside_pct
0,Basic Materials (Canada),ARMN,Basic Materials,19.940000534057617,354.96014444924145,1680.1410980053276
1,Basic Materials (Canada),EQX,Basic Materials,15.864999771118164,143.2355368321355,802.839829174736
2,Basic Materials (Canada),AG,Basic Materials,25.0049991607666,168.53914562764237,574.0218007768783
3,Basic Materials (Canada),FSM,Basic Materials,11.630000114440918,73.96474772763955,535.9823473758858
4,Basic Materials (Canada),AAUC,Basic Materials,30.040000915527344,158.2833254781479,426.9085241483232
5,Basic Materials (USA),CDE,Basic Materials,25.985000610351562,148.74711399571504,472.43452184664994
6,Basic Materials (USA),CF,Basic Materials,91.83999633789062,381.7373132701255,315.65475663312
7,Basic Materials (USA),AUGO,Basic Materials,69.51000213623047,264.0862146730903,279.92548778162313
8,Basic Materials (USA),CBT,Basic Materials,72.79000091552734,219.75573403746057,201.90373852651368
9,Basic Materials (USA),AMR,Basic Materials,229.8249969482422,263.4569586056192,14.633726576291917
10,Communication Services (Canada),IMAX,Communication Services,35.5,35.966608645288225,1.3143905501076691
11,Communication Services (USA),CMCSA,Communication Services,29.100000381469727,112.38261305698298,286.19454152497497
12,Communication Services (USA),CHTR,Communication Services,189.0749969482422,571.8630643646973,202.45303376693448
13,Communication Services (USA),DIS,Communication Services,111.55999755859375,152.7889222519343,36.95672785550772
14,Communication Services (USA),CNK,Communication Services,24.354999542236328,27.742594748189727,13.909239456476463
15,Communication Services (USA),AD,Communication Services,48.19499969482422,,
16,Consumer Cyclical (Canada),DOO,Consumer Cyclical,80.75,203.4995557104555,152.0118336971585
17,Consumer Cyclical (Canada),MGA,Consumer Cyclical,53.27000045776367,71.45439705255411,34.136280154922005
18,Consumer Cyclical (Canada),LULU,Consumer Cyclical,192.2100067138672,217.2359008278273,13.020078684672654
19,Consumer Cyclical (Canada),GOOS,Consumer Cyclical,12.8100004196167,13.36313177898974,4.317965193240725
20,Consumer Cyclical (Canada),BGSI,Consumer Cyclical,163.69000244140625,86.5197584382848,-47.14414005262476
21,Consumer Cyclical (USA),ALSN,Consumer Cyclical,109.9000015258789,208.38741282275555,89.61547764281434
22,Consumer Cyclical (USA),ANF,Consumer Cyclical,95.12000274658203,150.71643572527913,58.44872936643692
23,Consumer Cyclical (USA),ABG,Consumer Cyclical,238.65440368652344,352.9505591953095,47.89191137613198
24,Consumer Cyclical (USA),AIN,Consumer Cyclical,57.724998474121094,68.54707759716112,18.747647308976045
25,Consumer Cyclical (USA),ABNB,Consumer Cyclical,133.97999572753906,134.2408172051387,0.19467195545375127
26,Consumer Defensive (USA),CELH,Consumer Defensive,55.8849983215332,3239.1420232614423,5696.0850327401
27,Consumer Defensive (USA),CALM,Consumer Defensive,80.91000366210938,661.4838690728677,717.5551095453039
28,Consumer Defensive (USA),ADM,Consumer Defensive,67.2300033569336,97.30006715804636,44.727149040089365
29,Consumer Defensive (USA),ANDE,Consumer Defensive,59.59000015258789,85.20715182579694,42.98901092064613
30,Consumer Defensive (USA),CAG,Consumer Defensive,17.354999542236328,22.973051132276996,32.371372735379154
31,Energy (Canada),VET,Energy,9.390000343322754,112.341433794521,1096.3943523645044
32,Energy (Canada),BTE,Energy,3.3415000438690186,36.71540939201059,998.7702801134477
33,Energy (Canada),PDS,Energy,77.5999984741211,556.4404634435906,617.0624669911025
34,Energy (Canada),EFXT,Energy,17.059999465942383,73.0575422734331,328.23883095237517
35,Energy (Canada),SU,Energy,51.165000915527344,202.4909532697746,295.7606755525797
36,Energy (USA),CIVI,Energy,28,471.6528252429793,1584.4743758677832
37,Energy (USA),CNR,Energy,101,1041.768219541227,931.4536827140861
38,Energy (USA),APA,Energy,26.291000366210938,232.1779460457656,783.1080704869622
39,Energy (USA),CNX,Energy,37.11000061035156,271.22862700093714,630.8774522770552
40,Energy (USA),CHRD,Energy,95.79000091552734,680.9553166122853,610.8835056936554
41,Financial (Canada),PSLV,Default,32.440101623535156,865.599584869529,2568.3010889261213
42,Financial (Canada),SII,Financial Services,130.71009826660156,,
43,Financial (USA),AFL,Financial Services,107.44999694824219,378.65900626054724,252.40485529557
44,Financial (USA),AB,Financial Services,39,79.04116051330321,102.66964234180311
45,Financial (USA),ACT,Financial Services,38.900001525878906,51.43373722437453,32.22039898933511
46,Financial (USA),AFRM,Financial Services,71.7300033569336,89.3458794927189,24.55858819374015
47,Financial (USA),AFG,Financial Services,127.44999694824219,62.51482995078566,-50.949524168154255
48,Healthcare (Canada),AUPH,Healthcare,14.845000267028809,15.675046659813988,5.59142053118542
49,Healthcare (Canada),CRON,Healthcare,2.7249999046325684,2.675785103545976,-1.8060478095036192
50,Healthcare (USA),ADUS,Healthcare,107.9800033569336,167.7957459091118,55.3952034567494
51,Healthcare (USA),AHCO,Healthcare,10.074999809265137,15.602905826564292,54.86755456030483
52,Healthcare (USA),ACAD,Healthcare,27.479999542236328,23.22041101401803,-15.500686314318813
53,Healthcare (USA),ALGN,Healthcare,167.89999389648438,103.94881895651602,-38.088848877145445
54,Healthcare (USA),A,Healthcare,136.47000122070312,73.90869617857358,-45.84253277828704
55,Industrials (Canada),TFII,Industrials,110.45999908447266,170.45399226843352,54.31286771791601
56,Industrials (Canada),ATS,Industrials,29.770000457763672,37.196971987095296,24.947838142860213
57,Industrials (Canada),STN,Industrials,100.92440032958984,96.88812303713131,-3.9993076790917015
58,Industrials (Canada),CAE,Industrials,33.27000045776367,21.476308188832764,-35.44842833381689
59,Industrials (Canada),TRI,Industrials,122.4000015258789,60.60444914267176,-50.486561775198815
